CASE NUMBER,CRIME TYPE,INCIDENT DATE,STATUS,STREET,CITY,STATE
146J10815,HOMICIDE,25-OCT-14,CAPTURED,3501 HOWARD PARK APT 212,BALTIMORE,MD
144J09907,ARMED ROBBERY,23-OCT-14,CAPTURED,3948 CHESTERFIELD,BALTIMORE,MD
147J09728,UNARMED ROBBERY,22-OCT-14,CAPTURED,909 N. FRANKLINTOWN RD,BALTIMORE,MD
141J09606,UNARMED ROBBERY,22-OCT-14,CAPTURED,3154 WILKENS AVE,BALTIMORE,MD
145J09296,BURGLARY,21-OCT-14,CAPTURED,3501 REISTERSTOWN RD,BALTIMORE,MD
147J06077,UNARMED ROBBERY,14-OCT-14,CAPTURED,2044 WALBROOK AVE,BALTIMORE,MD
147J06077,ARMED ROBBERY,14-OCT-14,CAPTURED,1300 W. FAYETTE ST.,BALTIMORE,MD
144J04051,HOMICIDE,09-OCT-14,CAPTURED,1266 HALSTEAD  ROAD.,BALTIMORE,MD
147J03811,HOMICIDE,09-OCT-14,CAPTURED,1511 CLIFTON AVE.,BALTIMORE,MD
147J03811,HOMICIDE,09-OCT-14,CAPTURED,1511 CLIFTON AVE.,BALTIMORE,MD
142J02623,HOMICIDE,06-OCT-14,CAPTURED,1511 MCHENRY STREET,BALTIMORE,MD
143J02578,AGGRAVATED ASSAULT,06-OCT-14,CAPTURED,19 INGLESIDE AVE,BALTIMORE,MD
144J02037,HOMICIDE,05-OCT-14,CAPTURED,200 HERRING CT.,BALTIMORE,MD
144I13336,ARMED ROBBERY,29-SEP-14,CAPTURED,4227 NICHOLAS AVE,BALTIMORE,MD
149I13340,ARMED ROBBERY,29-SEP-14,CAPTURED,5621 BELLE GROVE RD,BALTIMORE,MD
144I12049,SHOOTING,26-SEP-14,CAPTURED,4807 MANNASOTA,BALTIMORE,MD
146I11669,AGGRAVATED ASSAULT,26-SEP-14,CAPTURED,922 CALWELL RD,BALTIMORE,MD
145I11651,HOMICIDE,26-SEP-14,CAPTURED,2103 HARROW DRIVE,BALTIMORE,MD
145I09751,ARMED ROBBERY,21-SEP-14,CAPTURED,1206 N. LUZERNE,BALTIMORE,MD
144I08381,HOMICIDE,18-SEP-14,CAPTURED,636 E. 23RD STREET,BALTIMORE,MD
141B03441,HOMICIDE,18-SEP-14,CAPTURED,1305 W. BALTIMORE ST.,BALTIMORE,MD
147I07640,UNARMED ROBBERY,17-SEP-14,CAPTURED,2041 FULTON AVE ROOM #3,BALTIMORE,MD
144I07290,CHILD ABUSE,16-SEP-14,CAPTURED,2325 EUTAW PLACE,BALTIMORE,MD
148I04762,HOMICIDE,11-SEP-14,CAPTURED,2570 HOLLINS ST,BALTIMORE,MD
143I01851,ABDUCTION,04-SEP-14,CAPTURED,2700 HARFORD RD,BALTIMORE,MD
141I00399,AGGRAVATED ASSAULT,04-SEP-14,CAPTURED,1521 MADISON ST,BALTIMORE,MD
146I01371,HOMICIDE,03-SEP-14,CAPTURED,2500 DRUID HILL AVE,BALTIMORE,MD
144H10812,ARMED ROBBERY,25-AUG-14,CAPTURED,2915 EDISON HWY.,BALTIMORE,MD
148H09398,CARJACKING,21-AUG-14,CAPTURED,2878 HARFORD ROAD,BALTIMORE,MD
145H08518,ARMED ROBBERY,19-AUG-14,CAPTURED,3330 GREENMOUNT AVE,BALTIMORE,MD
147H07533,ARMED ROBBERY,17-AUG-14,CAPTURED,5607 RADECKE AVE,BALTIMORE,MD
142H06216,ARMED ROBBERY,14-AUG-14,CAPTURED,2505 WINCHESTER APT 201,BALTIMORE,MD
142H06216,ARMED ROBBERY,14-AUG-14,CAPTURED,533 RICHWOOD,BALTIMORE,MD
145H05902,ARMED ROBBERY,14-AUG-14,CAPTURED,3052 GRANTLEY STREET,BALTIMORE,MD
146H05383,ARMED ROBBERY,13-AUG-14,CAPTURED,2406 PRESBURY STREET,BALTIMORE,MD
147H04734,ARMED ROBBERY,11-AUG-14,CAPTURED,400 E. BIDDLE STREET,BALTIMORE,MD
147H04734,ARMED ROBBERY,11-AUG-14,CAPTURED,400 E. BIDDLE ST,BALTIMORE,MD
144H04447,HOMICIDE,11-AUG-14,CAPTURED,8652 PULASKI HWAY,BALTIMORE,MD
143H03988,HOMICIDE,10-AUG-14,CAPTURED,220 N BELNORD AVE,BALTIMORE,MD
142H03481,SHOOTING,08-AUG-14,CAPTURED,4805 LORELLY AVE APT 3A,BALTIMORE,MD
143H03101,SHOOTING,08-AUG-14,CAPTURED,3100 REACHING CIRCLE,BALTIMORE,MD
142H02438,HOME INVASION,06-AUG-14,CAPTURED,1211 COMET MEWS,BALTIMORE,MD
146H02137,OTHER,05-AUG-14,CAPTURED,3900 BARRINGTON,BALTIMORE,MD
147H01990,UNARMED ROBBERY,05-AUG-14,CAPTURED,2719 FENWICK,BALTIMORE,MD
146H01917,ARMED ROBBERY,05-AUG-14,CAPTURED,1633 N. MONROE ST,BALTIMORE,MD
144H01879,UNARMED ROBBERY,05-AUG-14,CAPTURED,2215 CORONA CT.,BALTIMORE,MD
142H00928,ARMED ROBBERY,03-AUG-14,CAPTURED,1609 N. BRADFORD ST,BALTIMORE,MD
147H00403,SHOOTING,01-AUG-14,CAPTURED,2809 WASHINGTON BLVD,BALTIMORE,MD
146G13304,SHOOTING,29-JUL-14,CAPTURED,2622 COLDSPRING LANE,BALTIMORE,MD
148G12215,CARJACKING,27-JUL-14,CAPTURED,3720 EDMONSON AVE.,BALTIMORE,MD
145G11688,UNARMED ROBBERY,25-JUL-14,CAPTURED,400 N. MONTFORD AVE,BALTIMORE,MD
146G10365,BURGLARY,23-JUL-14,CAPTURED,2932 SOUTHLAND AVE.,BALTIMORE,MD
146G09310,ARMED ROBBERY,21-JUL-14,CAPTURED,1235 E. LAFAYATTE ST,BALTIMORE,MD
149G09272,UNARMED ROBBERY,20-JUL-14,CAPTURED,209 FAGLEY STREET,BALTIMORE,MD
147G07672,OTHER,17-JUL-14,CAPTURED,1604 N. WOLFE STREET,BALTIMORE,MD
146G08827,SHOOTING,16-JUL-14,CAPTURED,3915 BARRINGTON,BALTIMORE,MD
146G07325,HOMICIDE,16-JUL-14,CAPTURED,3805 WABASH AVE APT T1,BALTIMORE,MD
141G05931,AGGRAVATED ASSAULT,13-JUL-14,CAPTURED,4814 EDMONSON AVE.,BALTIMORE,MD
144G05578,ARMED ROBBERY,12-JUL-14,CAPTURED,3132 WOODRING,BALTIMORE,MD
141G03985,ARMED ROBBERY,09-JUL-14,CAPTURED,7116 WINTER ROSE PATH,BALTIMORE,MD
147G02457,SHOOTING,06-JUL-14,CAPTURED,3400 CLIFTON AVE,BALTIMORE,MD
148G01927,SHOOTING,05-JUL-14,CAPTURED,2402 TIONESTA RD.,BALTIMORE,MD
144G01728,ARMED ROBBERY,04-JUL-14,CAPTURED,1266 BEAUMONT AVE,BALTIMORE,MD
147F13750,OTHER,29-JUN-14,CAPTURED,1400 N. MOUNT ST,BALTIMORE,MD
145F13698,ARMED ROBBERY,29-JUN-14,CAPTURED,300 W. 29TH,BALTIMORE,MD
148F13625,HOMICIDE,29-JUN-14,CAPTURED,4600 FRANLINTOWN RD,BALTIMORE,MD
142F13326,ARMED ROBBERY,29-JUN-14,CAPTURED,6220 FERORE WAY,BALTIMORE,MD
144F12891,AGGRAVATED ASSAULT,28-JUN-14,CAPTURED,6006 WINTHROPE,BALTIMORE,MD
148F11372,BURGLARY,27-JUN-14,CAPTURED,100 S. AUGUSTA ST,BALTIMORE,MD
144F12439,UNARMED ROBBERY,27-JUN-14,CAPTURED,1821 E. BELVEDERE AVE,BALTIMORE,MD
141F11981,ARMED ROBBERY,26-JUN-14,CAPTURED,30 S. CARROLLTON AVE,BALTIMORE,MD
149F10408,LARCENY,22-JUN-14,CAPTURED,900 E. FAYETTE STREET,BALTIMORE,MD
146F09458,ARMED ROBBERY,20-JUN-14,CAPTURED,2418 HUNT ST,BALTIMORE,MD
145F09098,ARMED ROBBERY,19-JUN-14,CAPTURED,3 DANDELION CT.,BALTIMORE,MD
142F07944,UNARMED ROBBERY,17-JUN-14,CAPTURED,1727 E. 33RD. ST.,BALTIMORE,MD
142F07599,ARMED ROBBERY,16-JUN-14,CAPTURED,519 S. NEWKIRK AVE,BALTIMORE,MD
142F07550,ARMED ROBBERY,16-JUN-14,CAPTURED,3400 MT. PLEASANT,BALTIMORE,MD
149F07613,HOMICIDE,16-JUN-14,CAPTURED,2530 W. BALTIMORE STREET,BALTIMORE,MD
144F06277,ARMED ROBBERY,13-JUN-14,CAPTURED,2912 CLIFTON PARK TERRACE,BALTIMORE,MD
147F06261,ARMED ROBBERY,13-JUN-14,CAPTURED,300 S. PAYSON ST.,BALTIMORE,MD
142F01692,RAPE,13-JUN-14,CAPTURED,6 GLENSHANNON CT,BALTIMORE,MD
146F05791,SHOOTING,12-JUN-14,CAPTURED,4000 W. ROGERS AVE,BALTIMORE,MD
144F03818,ARMED ROBBERY,09-JUN-14,CAPTURED,1700 SWANSEA RD.,BALTIMORE,MD
145F04323,ARMED ROBBERY,09-JUN-14,CAPTURED,6406 BAYBERRY COURT,BALTIMORE,MD
147F03606,UNARMED ROBBERY,08-JUN-14,CAPTURED,1400 LANCELOT DR.,BALTIMORE,MD
141F03575,ARMED ROBBERY,07-JUN-14,CAPTURED,642 WALTON COURT,BALTIMORE,MD
143F03090,HOMICIDE,07-JUN-14,CAPTURED,1227 POPLAR GROVE ST.,BALTIMORE,MD
143F03090,HOMICIDE,07-JUN-14,CAPTURED,1227 POPLAR GROVE STREET,BALTIMORE,MD
147G02166,HOMICIDE,05-JUN-14,CAPTURED,20 MARICE CIRCLE,BALTIMORE,MD
144E02884,HOMICIDE,04-JUN-14,CAPTURED,3826 YOLANDO RD,BALTIMORE,MD
148F01474,ARMED ROBBERY,04-JUN-14,CAPTURED,3400 CLIFTON,BALTIMORE,MD
146F01193,AGGRAVATED ASSAULT,03-JUN-14,CAPTURED,127 COWHIDE CIRCLE,BALTIMORE,MD
144F00969,HOMICIDE,03-JUN-14,CAPTURED,3203 PARKINGTON,BALTIMORE,MD
143F00757,UNARMED ROBBERY,02-JUN-14,CAPTURED,5113 LEVONDALE,BALTIMORE,MD
146F00402,ARMED ROBBERY,01-JUN-14,CAPTURED,4011 PENHURST AVE,BALTIMORE,MD
145E00273,UNARMED ROBBERY,01-JUN-14,CAPTURED,4203 SHAMROCK AVE,BALTIMORE,MD
149E14333,AGGRAVATED ASSAULT,30-MAY-14,CAPTURED,1838 MCCULLOH ST,BALTIMORE,MD
148E13631,CARJACKING,29-MAY-14,CAPTURED,5600 DOGWOOD,BALTIMORE,MD
147E13380,UNARMED ROBBERY,28-MAY-14,CAPTURED,5113 LEVONDALE,BALTIMORE,MD
141D11862,ARMED ROBBERY,26-MAY-14,CAPTURED,915 MCALEER CT,BALTIMORE,MD
148E11228,ARSON,23-MAY-14,CAPTURED,1945 GRIFFIS AVE,BALTIMORE,MD
144E10746,SHOOTING,23-MAY-14,CAPTURED,5900 WAYCROSS RD.,BALTIMORE,MD
148E10089,UNARMED ROBBERY,21-MAY-14,CAPTURED,2708 FRANKLIN STREET,BALTIMORE,MD
145E09758,SHOOTING,21-MAY-14,CAPTURED,2015 W. BELVEDERE AVE,BALTIMORE,MD
145E09758,SHOOTING,21-MAY-14,CAPTURED,315 N. POPPLETON ST,BALTIMORE,MD
145E09758,OTHER,21-MAY-14,CAPTURED,2015 W. BELVEDERE,BALTIMORE,MD
148E09743,ARMED ROBBERY,21-MAY-14,CAPTURED,3132 W. NORTH AVE,BALTIMORE,MD
141E08116,DOMESTIC VIOLENCE,17-MAY-14,CAPTURED,1511 PRESSTMAN ST,BALTIMORE,MD
142E05721,SHOOTING,12-MAY-14,CAPTURED,1120 E 20TH STREET,BALTIMORE,MD
141D03633,HOMICIDE,12-MAY-14,CAPTURED,2800 BOARMAN AVE,BALTIMORE,MD
148E00419,HOMICIDE,09-MAY-14,CAPTURED,7146 OLD WATERLOO RM 302,BALTIMORE,MD
144E00288,HOMICIDE,06-MAY-14,CAPTURED,2624 AISQUITH ST,BALTIMORE,MD
144E02884,HOMICIDE,06-MAY-14,CAPTURED,1645 N. CALHOUN ST.,BALTIMORE,MD
144E02884,HOMICIDE,06-MAY-14,CAPTURED,6501 LAURELTON AVE,BALTIMORE,MD
144E02587,OTHER,06-MAY-14,CAPTURED,2700 HARFORD RD,BALTIMORE,MD
144E01639,OTHER,04-MAY-14,CAPTURED,5659 PURDUE AVE APT D,BALTIMORE,MD
146D13464,AGGRAVATED ASSAULT,30-APR-14,CAPTURED,4107 SHANNON DRIVE 5614,BALTIMORE,MD
143D13409,AGGRAVATED ASSAULT,29-APR-14,CAPTURED,1906 E. 31ST STREET 5614,BALTIMORE,MD
148D12125,SHOOTING,27-APR-14,CAPTURED,5032 CLIFTON AVENUE,BALTIMORE,MD
148D12061,ARMED ROBBERY,26-APR-14,CAPTURED,2000 CLARK RD,HAVRE DE GRACE,MD
146D06724,OTHER,24-APR-14,CAPTURED,6000 BALLONA AVE,BALTIMORE,MD
148D10597,BURGLARY,23-APR-14,CAPTURED,1101 ARLINGTON,BALTIMORE,MD
149D09382,UNARMED ROBBERY,21-APR-14,CAPTURED,639 S. PULASKI STREET,BALTIMORE,MD
141D09180,SEX OFFENSE,21-APR-14,CAPTURED,2500 W. FAYETTE ST.,BALTIMORE,MD
141D00860,UNARMED ROBBERY,19-APR-14,CAPTURED,712 VINE STREET,BALTIMORE,MD
146D07431,SEX OFFENSE,16-APR-14,CAPTURED,4111 NORFOLK AVE,BALTIMORE,MD
133H01985,AGGRAVATED ASSAULT,14-APR-14,CAPTURED,2200 BRYANT ST,BALTIMORE,MD
149D06142,UNARMED ROBBERY,14-APR-14,CAPTURED,1823 WILKENS,BALTIMORE,MD
149D06025,AGGRAVATED ASSAULT,13-APR-14,CAPTURED,348 MARBA ROAD,SEVERNA PARK,MD
149D06025,AGGRAVATED ASSAULT,13-APR-14,CAPTURED,306 14TH AVE,BROOKLYN PARK,MD
147D05932,ARMED ROBBERY,13-APR-14,CAPTURED,2115 WALBROOK,BALTIMORE,MD
149D05961,RAPE,13-APR-14,CAPTURED,300 N. CHARLES STREET,BALTIMORE,MD
148D05416,ARMED ROBBERY,12-APR-14,CAPTURED,1110 ST AGNES LANE,BALTIMORE,MD
144D03382,UNARMED ROBBERY,08-APR-14,CAPTURED,300 S. GILMORE ST,BALTIMORE,MD
149C06388,AGGRAVATED ASSAULT,07-APR-14,CAPTURED,7808 PULASKI HWY,BALTIMORE,MD
144D02534,HOMICIDE,06-APR-14,CAPTURED,1100 E. EAGER ST,BALTIMORE,MD
146D02024,AGGRAVATED ASSAULT,04-APR-14,CAPTURED,5913 YORK ROAD,BALTIMORE,MD
149D00099,DOMESTIC VIOLENCE,01-APR-14,CAPTURED,5004 GOODNOW RD.,BALTIMORE,MD
141C13270,UNARMED ROBBERY,31-MAR-14,CAPTURED,318 E. 22ND STREET,BALTIMORE,MD
147C12925,ARMED ROBBERY,31-MAR-14,CAPTURED,2572 HOLLINS STREET,BALTIMORE,MD
142C12431,RAPE,29-MAR-14,CAPTURED,100 N. CURLEY ST,BALTIMORE,MD
144C11527,AGGRAVATED ASSAULT,27-MAR-14,CAPTURED,5864 BELAIR RD,BALTIMORE,MD
142C00119,HOMICIDE,27-MAR-14,CAPTURED,1900 THANMES STREET,BALTIMORE,MD
149C10683,HOMICIDE,25-MAR-14,CAPTURED,4800 THE ALAMEDA,BALTIMORE,MD
145C08743,CHILD ABUSE,24-MAR-14,CAPTURED,3905 HOLLINS FERRY RD,BALTIMORE,MD
144C09862,DOMESTIC VIOLENCE,24-MAR-14,CAPTURED,4000 LYNDALE AVE,BALTIMORE,MD
145C09337,UNARMED ROBBERY,22-MAR-14,CAPTURED,1927 N. COLLINGTON AVE,BALTIMORE,MD
147C08975,AGGRAVATED ASSAULT,22-MAR-14,CAPTURED,5801 BALTIMORE NATIONAL PIKE,BALTIMORE,MD
145C08552,ARMED ROBBERY,21-MAR-14,CAPTURED,3426 KESWICK ROAD,BALTIMORE,MD
147C07999,ARMED ROBBERY,19-MAR-14,CAPTURED,2839 N. CALVERT ST,BALTIMORE,MD
143C06647,AGGRAVATED ASSAULT,16-MAR-14,CAPTURED,1229 GREENMOUNT,BALTIMORE,MD
144C05905,SHOOTING,14-MAR-14,CAPTURED,4221 SHELDON AVE,BALTIMORE,MD
143C05824,SHOOTING,14-MAR-14,CAPTURED,2807 OAKLEY AVE,BALTIMORE,MD
143C05824,SHOOTING,14-MAR-14,CAPTURED,3905 PENHURST AVE,BALTIMORE,MD
143C05824,SHOOTING,14-MAR-14,CAPTURED,848 CHISHOLM AVE,BALTIMORE,MD
143C05660,OTHER,14-MAR-14,CAPTURED,1300 E. FAYETTE ST,BALTIMORE,MD
143C05824,SHOOTING,14-MAR-14,CAPTURED,2406 ROSLYN AVE,BALTIMORE,MD
131K06154,UNARMED ROBBERY,12-MAR-14,CAPTURED,1654 WHITEHEAD COURT,BALTIMORE,MD
144C04578,SHOOTING,12-MAR-14,CAPTURED,7926 31ST ST.,ROSEDALE,MD
149C04570,ARMED ROBBERY,12-MAR-14,CAPTURED,2653 SEAMON DR.,BALTIMORE,MD
149C00882,AGGRAVATED ASSAULT,11-MAR-14,CAPTURED,4604 PRUDENCE STREET APT 2,BALTIMORE,MD
149C00882,AGGRAVATED ASSAULT,11-MAR-14,CAPTURED,4606 PRUDENCE STREET APT 2,BALTIMORE,MD
142C04237,UNARMED ROBBERY,11-MAR-14,CAPTURED,2529 ASHTON STREET,BALTIMORE,MD
148C04297,ARMED ROBBERY,11-MAR-14,CAPTURED,11155 DOLFIELD BLVD,BALTIMORE,MD
145C03920,UNARMED ROBBERY,10-MAR-14,CAPTURED,318 E. 22ND ST APT 2,BALTIMORE,MD
149C03875,SHOOTING,10-MAR-14,CAPTURED,309 S. FRANKLINTOWN RD,BALTIMORE,MD
148C02457,HOMICIDE,10-MAR-14,CAPTURED,3021 PRESSTMAN ST,BALTIMORE,MD
143C03169,HOMICIDE,08-MAR-14,CAPTURED,200 N BOND STREET,BALTIMORE,MD
148A12333,HOMICIDE,07-MAR-14,CAPTURED,2422 ANNOR CT,BALTIMORE,MD
148C02142,AGGRAVATED ASSAULT,06-MAR-14,CAPTURED,1401 BLOOMFIELD RD,BALTIMORE,MD
147C01903,ARMED ROBBERY,06-MAR-14,CAPTURED,4712 GREENSPRING AVE,BALTIMORE,MD
146D03135,BURGLARY,05-MAR-14,CAPTURED,638 REALM CT. ODENTON,BALTIMORE,MD
143C01008,AGGRAVATED ASSAULT,04-MAR-14,CAPTURED,401 E. 25TH STREET,BALTIMORE,MD
149C00702,ARMED ROBBERY,02-MAR-14,CAPTURED,3452 SPELLMAN ROAD,BALTIMORE,MD
146D06724,SEX OFFENSE,02-MAR-14,CAPTURED,6000 BOLLONA AVE,BALTIMORE,MD
141C00534,ARMED ROBBERY,02-MAR-14,CAPTURED, 2018 W. NORTH AVE,BALTIMORE,MD
141C00317,SHOOTING,01-MAR-14,CAPTURED,1500 SHIELDS PLACE,BALTIMORE,MD
142C00014,HOME INVASION,01-MAR-14,CAPTURED,401 N. KENWOOD,BALTIMORE,MD
142B10568,UNARMED ROBBERY,27-FEB-14,CAPTURED,1227 N. BENTALOU ST,BALTIMORE,MD
146B10467,UNARMED ROBBERY,26-FEB-14,CAPTURED,2407 LOYOLA NORTHWAY APT 302,BALTIMORE,MD
143B10398,AGGRAVATED ASSAULT,26-FEB-14,CAPTURED,722 N. GRANTLEY ST,BALTIMORE,MD
144B10393,UNARMED ROBBERY,26-FEB-14,CAPTURED,3416 GARRISON BLVD,BALTIMORE,MD
147B10330,SHOOTING,26-FEB-14,CAPTURED,831 BARRE ST,BALTIMORE,MD
149B04793,AGGRAVATED ASSAULT,26-FEB-14,CAPTURED,2303 WHITTIER AVE,BALTIMORE,MD
124D06775,OTHER,25-FEB-14,CAPTURED,5000 E. MONUMENT ST,BALTIMORE,MD
147B09397,ARMED ROBBERY,24-FEB-14,CAPTURED,8723 LOCH BEND RD APT138,BALTIMORE,MD
148B09208,ARMED ROBBERY,23-FEB-14,CAPTURED,3622 EDMONDSON AVE,BALTIMORE,MD
132H09550,SHOOTING,21-FEB-14,CAPTURED,919 HOLGATE APT L,BALTIMORE,MD
146B08257,BURGLARY,21-FEB-14,CAPTURED,7202 BRECKENRIDGE STREET,LAUREL,MD
142B08210,OTHER,21-FEB-14,CAPTURED,2300 EUTAW,BALTIMORE,MD
142B08210,OTHER,21-FEB-14,CAPTURED,2300 EUTAW,BALTIMORE,MD
149B08054,ARMED ROBBERY,21-FEB-14,CAPTURED,352 S. SMALLWOOD AVE,BALTIMORE,MD
144B07965,AGGRAVATED ASSAULT,20-FEB-14,CAPTURED,5600 THE ALAMEDA,BALTIMORE,MD
141B06995,ARMED ROBBERY,18-FEB-14,CAPTURED,547 DOLPHIN ST,BALTIMORE,MD
144B06432,ARMED ROBBERY,16-FEB-14,CAPTURED,123 N BOND,BALTIMORE,MD
147B05422,SHOOTING,14-FEB-14,CAPTURED,1034 N. MOUNT ST.,BALTIMORE,MD
146B05477,ARSON,14-FEB-14,CAPTURED,110 W. NORTH AVENUE,BALTIMORE,MD
146B05477,ARSON,14-FEB-14,CAPTURED,110 W. NORTH AVENUE,BALTIMORE,MD
145B04578,HOMICIDE,11-FEB-14,CAPTURED,36 STONECROFT ROAD,BALTIMORE,MD
145B04578,HOMICIDE,11-FEB-14,CAPTURED,600 MCKEWIN AVE,BALTIMORE,MD
146B01422,HOMICIDE,08-FEB-14,CAPTURED,4104 PENHURST AVE,BALTIMORE,MD
149B02166,RAPE,06-FEB-14,CAPTURED,3908 8TH STREET,BALTIMORE,MD
144B02038,OTHER,05-FEB-14,CAPTURED,3200 BELAIR ROAD,BALTIMORE,MD
149B01285,UNARMED ROBBERY,04-FEB-14,CAPTURED,2131 BRADDISH AVE,BALTIMORE,MD
144B01164,ARMED ROBBERY,03-FEB-14,CAPTURED,2239 AISQUITH STREET,BALTIMORE,MD
144A12641,AGGRAVATED ASSAULT,31-JAN-14,CAPTURED,1500 HAVENWOOD AVE,BALTIMORE,MD
148A12333,HOMICIDE,30-JAN-14,CAPTURED,500 NORMANDY AVE,BALTIMORE,MD
147A12301,SHOOTING,30-JAN-14,CAPTURED,428 RANDOM RD,BALTIMORE,MD
142A12137,OTHER,30-JAN-14,CAPTURED,5909 CHINQUAPIN PKWAY,BALTIMORE,MD
141A12186,ARMED ROBBERY,30-JAN-14,CAPTURED,1929 W. NORTH AVE APT 1B,BALTIMORE,MD
145A12024,ARMED ROBBERY,30-JAN-14,CAPTURED,2500 GREENMOUNT AVE,BALTIMORE,MD
143A11540,ARMED ROBBERY,28-JAN-14,CAPTURED,400 PITMAN PLACE,BALTIMORE,MD
142A09844,HOME INVASION,27-JAN-14,CAPTURED,527 N. CURLEY ST.,BALTIMORE,MD
145A11056,HOMICIDE,27-JAN-14,CAPTURED,12 BOHN CT.,BALTIMORE,MD
145A11056,HOMICIDE,27-JAN-14,CAPTURED,452 E. 28TH STREET,BALTIMORE,MD
147A10987,ARMED ROBBERY,27-JAN-14,CAPTURED,2415 W. LEXINGTON ST.,BALTIMORE,MD
146A10093,DOMESTIC VIOLENCE,25-JAN-14,CAPTURED,400 SARATOGA ST,BALTIMORE,MD
147A09897,HOMICIDE,25-JAN-14,CAPTURED,1401 EDMONDSON AVE,BALTIMORE,MD
147A09897,HOMICIDE,25-JAN-14,CAPTURED,501 N. CALHOUN STREET,BALTIMORE,MD
142A09844,HOME INVASION,24-JAN-14,CAPTURED,2800 HILLEN RD,BALTIMORE,MD
142A09412,OTHER,23-JAN-14,CAPTURED,400 N. BRADFORD ST,BALTIMORE,MD
144A09323,UNARMED ROBBERY,23-JAN-14,CAPTURED,5401 MAYVIEW AVE,BALTIMORE,MD
145A00918,ARMED ROBBERY,23-JAN-14,CAPTURED,222 MONISTARY RD..,BALTIMORE,MD
144A08874,ARMED ROBBERY,22-JAN-14,CAPTURED,200 CHERRY HILL RD,BALTIMORE,MD
144A08323,SHOOTING,20-JAN-14,CAPTURED,2400 SINCLAIR LANE,BALTIMORE,MD
148A08331,SEX OFFENSE,18-JAN-14,CAPTURED,5371 CARRIAGE CT  APT A,BALTIMORE,MD
144A07165,SHOOTING,17-JAN-14,CAPTURED,8108 RITCHIE HWAY,BALTIMORE,MD
144A07165,SHOOTING,17-JAN-14,CAPTURED,5022 BELAIR RD,BALTIMORE,MD
145A06776,HOMICIDE,17-JAN-14,CAPTURED,703 SPRINGFIELD,BALTIMORE,MD
149A00673,DOMESTIC VIOLENCE,16-JAN-14,CAPTURED,704 PORT ST.,BALTIMORE,MD
143A06230,UNARMED ROBBERY,15-JAN-14,CAPTURED,256 HERRING CT.,BALTIMORE,MD
145A06104,UNARMED ROBBERY,15-JAN-14,CAPTURED,"4014 PENHURST AVE, APT 2A",BALTIMORE,MD
147A05734,ARMED ROBBERY,14-JAN-14,CAPTURED,117 S. STRICKER STREET,BALTIMORE,MD
