CASE NUMBER,CRIME TYPE,INCIDENT DATE,STATUS,STREET,CITY,STATE,Full Address,Latitude,Longitude
141K08201,CARJACKING,20-Nov-14,CAPTURED,813 BRIAR HILL PLACE APT B,BALTIMORE,MD,813 BRIAR HILL PLACE APT B BALTIMORE MD ,39.303681,-76.450766
149K05972,ARMED ROBBERY,14-Nov-14,CAPTURED,500 MAUDE AVE,BALTIMORE,MD,500 MAUDE AVE BALTIMORE MD ,39.2390727,-76.6025261
141K03600,ARMED ROBBERY,9-Nov-14,CAPTURED,5500 WAYNE AVE,BALTIMORE,MD,5500 WAYNE AVE BALTIMORE MD ,39.330683,-76.7074956
142J02623,HOMICIDE,6-Nov-14,CAPTURED,1000 E. EAGER STREET,BALTIMORE,MD,1000 E. EAGER STREET BALTIMORE MD ,39.3019552,-76.6029112
146K00715,ARMED ROBBERY,2-Nov-14,CAPTURED,4600 PALL MALL,BALTIMORE,MD,4600 PALL MALL BALTIMORE MD ,39.3422617,-76.6652458
145K00462,RAPE,2-Nov-14,CAPTURED,2203 WHITCOMB CIR APT. C,BALTIMORE,MD,2203 WHITCOMB CIR APT. C BALTIMORE MD ,39.4037115,-76.543085
146J12626,ARMED ROBBERY,29-Oct-14,CAPTURED,1700 ABBOTSON STREET,BALTIMORE,MD,1700 ABBOTSON STREET BALTIMORE MD ,39.2903848,-76.6121893
145J11965,ARMED ROBBERY,27-Oct-14,CAPTURED,2400 E. BIDDLE ST,BALTIMORE,MD,2400 E. BIDDLE ST BALTIMORE MD ,39.3047082,-76.5840532
146J10815,HOMICIDE,25-Oct-14,CAPTURED,3501 HOWARD PARK APT 212,BALTIMORE,MD,3501 HOWARD PARK APT 212 BALTIMORE MD ,39.3314393,-76.6986952
144J09907,ARMED ROBBERY,23-Oct-14,CAPTURED,3948 CHESTERFIELD,BALTIMORE,MD,3948 CHESTERFIELD BALTIMORE MD ,39.3161493,-76.5622685
147J09728,UNARMED ROBBERY,22-Oct-14,CAPTURED,909 N. FRANKLINTOWN RD,BALTIMORE,MD,909 N. FRANKLINTOWN RD BALTIMORE MD ,39.2982637,-76.6669559
141J09606,UNARMED ROBBERY,22-Oct-14,CAPTURED,3154 WILKENS AVE,BALTIMORE,MD,3154 WILKENS AVE BALTIMORE MD ,39.2752997,-76.6676429
145J09296,BURGLARY,21-Oct-14,CAPTURED,3501 REISTERSTOWN RD,BALTIMORE,MD,3501 REISTERSTOWN RD BALTIMORE MD ,39.3278666,-76.659182
147J06077,UNARMED ROBBERY,14-Oct-14,CAPTURED,2044 WALBROOK AVE,BALTIMORE,MD,2044 WALBROOK AVE BALTIMORE MD ,39.3109405,-76.6512328
147J06077,ARMED ROBBERY,14-Oct-14,CAPTURED,1300 W. FAYETTE ST.,BALTIMORE,MD,1300 W. FAYETTE ST. BALTIMORE MD ,39.2898248,-76.638448
144J04051,HOMICIDE,9-Oct-14,CAPTURED,1266 HALSTEAD ROAD.,BALTIMORE,MD,1266 HALSTEAD ROAD. BALTIMORE MD ,39.3788141,-76.569326
147J03811,HOMICIDE,9-Oct-14,CAPTURED,1511 CLIFTON AVE.,BALTIMORE,MD,1511 CLIFTON AVE. BALTIMORE MD ,39.3136317,-76.6435497
147J03811,HOMICIDE,9-Oct-14,CAPTURED,1511 CLIFTON AVE.,BALTIMORE,MD,1511 CLIFTON AVE. BALTIMORE MD ,39.3136317,-76.6435497
142J02623,HOMICIDE,6-Oct-14,CAPTURED,1511 MCHENRY STREET,BALTIMORE,MD,1511 MCHENRY STREET BALTIMORE MD ,39.2843411,-76.6413166
143J02578,AGGRAVATED ASSAULT,6-Oct-14,CAPTURED,19 INGLESIDE AVE,BALTIMORE,MD,19 INGLESIDE AVE BALTIMORE MD ,39.3522698,-76.6807064
144J02037,HOMICIDE,5-Oct-14,CAPTURED,200 HERRING CT.,BALTIMORE,MD,200 HERRING CT. BALTIMORE MD ,39.2890766,-76.595413
144I13336,ARMED ROBBERY,29-Sep-14,CAPTURED,4227 NICHOLAS AVE,BALTIMORE,MD,4227 NICHOLAS AVE BALTIMORE MD ,39.3284204,-76.563383
149I13340,ARMED ROBBERY,29-Sep-14,CAPTURED,5621 BELLE GROVE RD,BALTIMORE,MD,5621 BELLE GROVE RD BALTIMORE MD ,39.2211382,-76.630122
144I12049,SHOOTING,26-Sep-14,CAPTURED,4807 MANNASOTA,BALTIMORE,MD,4807 MANNASOTA BALTIMORE MD ,39.3321763,-76.5561948
146I11669,AGGRAVATED ASSAULT,26-Sep-14,CAPTURED,922 CALWELL RD,BALTIMORE,MD,922 CALWELL RD BALTIMORE MD ,39.2673027,-76.6874398
145I11651,HOMICIDE,26-Sep-14,CAPTURED,2103 HARROW DRIVE,BALTIMORE,MD,2103 HARROW DRIVE BALTIMORE MD ,39.2903848,-76.6121893
145I09751,ARMED ROBBERY,21-Sep-14,CAPTURED,1206 N. LUZERNE,BALTIMORE,MD,1206 N. LUZERNE BALTIMORE MD ,39.3050301,-76.5814834
144I08381,HOMICIDE,18-Sep-14,CAPTURED,636 E. 23RD STREET,BALTIMORE,MD,636 E. 23RD STREET BALTIMORE MD ,39.3156032,-76.6082488
141B03441,HOMICIDE,18-Sep-14,CAPTURED,1305 W. BALTIMORE ST.,BALTIMORE,MD,1305 W. BALTIMORE ST. BALTIMORE MD ,39.2883959,-76.6383602
147I07640,UNARMED ROBBERY,17-Sep-14,CAPTURED,2041 FULTON AVE ROOM #3,BALTIMORE,MD,2041 FULTON AVE ROOM #3 BALTIMORE MD ,39.3118296,-76.6462461
144I07290,CHILD ABUSE,16-Sep-14,CAPTURED,2325 EUTAW PLACE,BALTIMORE,MD,2325 EUTAW PLACE BALTIMORE MD ,39.312547,-76.6356418
148I04762,HOMICIDE,11-Sep-14,CAPTURED,2570 HOLLINS ST,BALTIMORE,MD,2570 HOLLINS ST BALTIMORE MD ,39.2868453,-76.6580789
143I01851,ABDUCTION,4-Sep-14,CAPTURED,2700 HARFORD RD,BALTIMORE,MD,2700 HARFORD RD BALTIMORE MD ,39.3204805,-76.5918392
141I00399,AGGRAVATED ASSAULT,4-Sep-14,CAPTURED,1521 MADISON ST,BALTIMORE,MD,1521 MADISON ST BALTIMORE MD ,39.2991687,-76.5973475
146I01371,HOMICIDE,3-Sep-14,CAPTURED,2500 DRUID HILL AVE,BALTIMORE,MD,2500 DRUID HILL AVE BALTIMORE MD ,39.3132993,-76.6413924
144H10812,ARMED ROBBERY,25-Aug-14,CAPTURED,2915 EDISON HWY.,BALTIMORE,MD,2915 EDISON HWY. BALTIMORE MD ,39.3177741,-76.5723896
148H09398,CARJACKING,21-Aug-14,CAPTURED,2878 HARFORD ROAD,BALTIMORE,MD,2878 HARFORD ROAD BALTIMORE MD ,39.3229079,-76.5888564
145H08518,ARMED ROBBERY,19-Aug-14,CAPTURED,3330 GREENMOUNT AVE,BALTIMORE,MD,3330 GREENMOUNT AVE BALTIMORE MD ,39.3294344,-76.6096916
147H07533,ARMED ROBBERY,17-Aug-14,CAPTURED,5607 RADECKE AVE,BALTIMORE,MD,5607 RADECKE AVE BALTIMORE MD ,39.3296449,-76.5367173
142H06216,ARMED ROBBERY,14-Aug-14,CAPTURED,2505 WINCHESTER APT 201,BALTIMORE,MD,2505 WINCHESTER APT 201 BALTIMORE MD ,39.3012746,-76.6576233
142H06216,ARMED ROBBERY,14-Aug-14,CAPTURED,533 RICHWOOD,BALTIMORE,MD,533 RICHWOOD BALTIMORE MD ,39.3467236,-76.6080162
145H05902,ARMED ROBBERY,14-Aug-14,CAPTURED,3052 GRANTLEY STREET,BALTIMORE,MD,3052 GRANTLEY STREET BALTIMORE MD ,39.2940238,-76.6772272
146H05383,ARMED ROBBERY,13-Aug-14,CAPTURED,2406 PRESBURY STREET,BALTIMORE,MD,2406 PRESBURY STREET BALTIMORE MD ,39.3077604,-76.6564562
147H04734,ARMED ROBBERY,11-Aug-14,CAPTURED,400 E. BIDDLE STREET,BALTIMORE,MD,400 E. BIDDLE STREET BALTIMORE MD ,39.3038158,-76.6104589
147H04734,ARMED ROBBERY,11-Aug-14,CAPTURED,400 E. BIDDLE ST,BALTIMORE,MD,400 E. BIDDLE ST BALTIMORE MD ,39.3038158,-76.6104589
144H04447,HOMICIDE,11-Aug-14,CAPTURED,8652 PULASKI HWAY,BALTIMORE,MD,8652 PULASKI HWAY BALTIMORE MD ,39.3355647,-76.4850141
143H03988,HOMICIDE,10-Aug-14,CAPTURED,220 N BELNORD AVE,BALTIMORE,MD,220 N BELNORD AVE BALTIMORE MD ,39.2954412,-76.5786967
142H03481,SHOOTING,8-Aug-14,CAPTURED,4805 LORELLY AVE APT 3A,BALTIMORE,MD,4805 LORELLY AVE APT 3A BALTIMORE MD ,39.3164083,-76.5468382
143H03101,SHOOTING,8-Aug-14,CAPTURED,3100 REACHING CIRCLE,BALTIMORE,MD,3100 REACHING CIRCLE BALTIMORE MD ,39.314112,-76.4452869
142H02438,HOME INVASION,6-Aug-14,CAPTURED,1211 COMET MEWS,BALTIMORE,MD,1211 COMET MEWS BALTIMORE MD ,39.2927775,-76.601188
146H02137,OTHER,5-Aug-14,CAPTURED,3900 BARRINGTON,BALTIMORE,MD,3900 BARRINGTON BALTIMORE MD ,39.3313885,-76.6826072
147H01990,UNARMED ROBBERY,5-Aug-14,CAPTURED,2719 FENWICK,BALTIMORE,MD,2719 FENWICK BALTIMORE MD ,39.3230708,-76.5899123
146H01917,ARMED ROBBERY,5-Aug-14,CAPTURED,1633 N. MONROE ST,BALTIMORE,MD,1633 N. MONROE ST BALTIMORE MD ,39.3073342,-76.6477932
144H01879,UNARMED ROBBERY,5-Aug-14,CAPTURED,2215 CORONA CT.,BALTIMORE,MD,2215 CORONA CT. BALTIMORE MD ,39.3676117,-76.5689834
142H00928,ARMED ROBBERY,3-Aug-14,CAPTURED,1609 N. BRADFORD ST,BALTIMORE,MD,1609 N. BRADFORD ST BALTIMORE MD ,39.3093583,-76.5849235
147H00403,SHOOTING,1-Aug-14,CAPTURED,2809 WASHINGTON BLVD,BALTIMORE,MD,2809 WASHINGTON BLVD BALTIMORE MD ,39.2632636,-76.656034
146G13304,SHOOTING,29-Jul-14,CAPTURED,2622 COLDSPRING LANE,BALTIMORE,MD,2622 COLDSPRING LANE BALTIMORE MD ,39.3400867,-76.6658601
148G12215,CARJACKING,27-Jul-14,CAPTURED,3720 EDMONSON AVE.,BALTIMORE,MD,3720 EDMONSON AVE. BALTIMORE MD ,39.29418,-76.679276
145G11688,UNARMED ROBBERY,25-Jul-14,CAPTURED,400 N. MONTFORD AVE,BALTIMORE,MD,400 N. MONTFORD AVE BALTIMORE MD ,39.2959105,-76.5837527
146G10365,BURGLARY,23-Jul-14,CAPTURED,2932 SOUTHLAND AVE.,BALTIMORE,MD,2932 SOUTHLAND AVE. BALTIMORE MD ,39.2502999,-76.6192726
146G09310,ARMED ROBBERY,21-Jul-14,CAPTURED,1235 E. LAFAYATTE ST,BALTIMORE,MD,1235 E. LAFAYATTE ST BALTIMORE MD ,39.3103096,-76.6011987
149G09272,UNARMED ROBBERY,20-Jul-14,CAPTURED,209 FAGLEY STREET,BALTIMORE,MD,209 FAGLEY STREET BALTIMORE MD ,39.2899681,-76.5643177
147G07672,OTHER,17-Jul-14,CAPTURED,1604 N. WOLFE STREET,BALTIMORE,MD,1604 N. WOLFE STREET BALTIMORE MD ,39.3088382,-76.5917264
146G08827,SHOOTING,16-Jul-14,CAPTURED,3915 BARRINGTON,BALTIMORE,MD,3915 BARRINGTON BALTIMORE MD ,39.3311061,-76.6846393
146G07325,HOMICIDE,16-Jul-14,CAPTURED,3805 WABASH AVE APT T1,BALTIMORE,MD,3805 WABASH AVE APT T1 BALTIMORE MD ,39.3281963,-76.6647604
141G05931,AGGRAVATED ASSAULT,13-Jul-14,CAPTURED,4814 EDMONSON AVE.,BALTIMORE,MD,4814 EDMONSON AVE. BALTIMORE MD ,39.2928321,-76.7017068
144G05578,ARMED ROBBERY,12-Jul-14,CAPTURED,3132 WOODRING,BALTIMORE,MD,3132 WOODRING BALTIMORE MD ,39.3633317,-76.546407
141G03985,ARMED ROBBERY,9-Jul-14,CAPTURED,7116 WINTER ROSE PATH,BALTIMORE,MD,7116 WINTER ROSE PATH BALTIMORE MD ,39.1845387,-76.8397184
147G02457,SHOOTING,6-Jul-14,CAPTURED,3400 CLIFTON AVE,BALTIMORE,MD,3400 CLIFTON AVE BALTIMORE MD ,39.3110269,-76.6742344
148G01927,SHOOTING,5-Jul-14,CAPTURED,2402 TIONESTA RD.,BALTIMORE,MD,2402 TIONESTA RD. BALTIMORE MD ,39.2516503,-76.6541486
144G01728,ARMED ROBBERY,4-Jul-14,CAPTURED,1266 BEAUMONT AVE,BALTIMORE,MD,1266 BEAUMONT AVE BALTIMORE MD ,39.3511223,-76.5970247
147F13750,OTHER,29-Jun-14,CAPTURED,1400 N. MOUNT ST,BALTIMORE,MD,1400 N. MOUNT ST BALTIMORE MD ,39.3043641,-76.6449939
145F13698,ARMED ROBBERY,29-Jun-14,CAPTURED,300 W. 29TH,BALTIMORE,MD,300 W. 29TH BALTIMORE MD ,39.3222718,-76.6225899
148F13625,HOMICIDE,29-Jun-14,CAPTURED,4600 FRANLINTOWN RD,BALTIMORE,MD,4600 FRANLINTOWN RD BALTIMORE MD ,39.3013816,-76.6968315
142F13326,ARMED ROBBERY,29-Jun-14,CAPTURED,6220 FERORE WAY,BALTIMORE,MD,6220 FERORE WAY BALTIMORE MD ,39.2806901,-76.5409345
144F12891,AGGRAVATED ASSAULT,28-Jun-14,CAPTURED,6006 WINTHROPE,BALTIMORE,MD,6006 WINTHROPE BALTIMORE MD ,39.3523234,-76.5463169
148F11372,BURGLARY,27-Jun-14,CAPTURED,100 S. AUGUSTA ST,BALTIMORE,MD,100 S. AUGUSTA ST BALTIMORE MD ,39.2849743,-76.6851885
144F12439,UNARMED ROBBERY,27-Jun-14,CAPTURED,1821 E. BELVEDERE AVE,BALTIMORE,MD,1821 E. BELVEDERE AVE BALTIMORE MD ,39.3567379,-76.5803501
141F11981,ARMED ROBBERY,26-Jun-14,CAPTURED,30 S. CARROLLTON AVE,BALTIMORE,MD,30 S. CARROLLTON AVE BALTIMORE MD ,39.2878802,-76.6368907
149F10408,LARCENY,22-Jun-14,CAPTURED,900 E. FAYETTE STREET,BALTIMORE,MD,900 E. FAYETTE STREET BALTIMORE MD ,39.291334,-76.604679
146F09458,ARMED ROBBERY,20-Jun-14,CAPTURED,2418 HUNT ST,BALTIMORE,MD,2418 HUNT ST BALTIMORE MD ,39.3779949,-76.6798467
145F09098,ARMED ROBBERY,19-Jun-14,CAPTURED,3 DANDELION CT.,BALTIMORE,MD,3 DANDELION CT. BALTIMORE MD ,39.400079,-76.745775
142F07944,UNARMED ROBBERY,17-Jun-14,CAPTURED,1727 E. 33RD. ST.,BALTIMORE,MD,1727 E. 33RD. ST. BALTIMORE MD ,39.3281411,-76.5909887
142F07599,ARMED ROBBERY,16-Jun-14,CAPTURED,519 S. NEWKIRK AVE,BALTIMORE,MD,519 S. NEWKIRK AVE BALTIMORE MD ,39.2862732,-76.5563303
142F07550,ARMED ROBBERY,16-Jun-14,CAPTURED,3400 MT. PLEASANT,BALTIMORE,MD,3400 MT. PLEASANT BALTIMORE MD ,39.2909636,-76.5691432
149F07613,HOMICIDE,16-Jun-14,CAPTURED,2530 W. BALTIMORE STREET,BALTIMORE,MD,2530 W. BALTIMORE STREET BALTIMORE MD ,39.2878716,-76.6573942
144F06277,ARMED ROBBERY,13-Jun-14,CAPTURED,2912 CLIFTON PARK TERRACE,BALTIMORE,MD,2912 CLIFTON PARK TERRACE BALTIMORE MD ,39.3219945,-76.5758302
147F06261,ARMED ROBBERY,13-Jun-14,CAPTURED,300 S. PAYSON ST.,BALTIMORE,MD,300 S. PAYSON ST. BALTIMORE MD ,39.284057,-76.6486484
142F01692,RAPE,13-Jun-14,CAPTURED,6 GLENSHANNON CT,BALTIMORE,MD,6 GLENSHANNON CT BALTIMORE MD ,39.299669,-76.4471839
146F05791,SHOOTING,12-Jun-14,CAPTURED,4000 W. ROGERS AVE,BALTIMORE,MD,4000 W. ROGERS AVE BALTIMORE MD ,39.348651,-76.6891278
144F03818,ARMED ROBBERY,9-Jun-14,CAPTURED,1700 SWANSEA RD.,BALTIMORE,MD,1700 SWANSEA RD. BALTIMORE MD ,39.356669,-76.5817961
145F04323,ARMED ROBBERY,9-Jun-14,CAPTURED,6406 BAYBERRY COURT,BALTIMORE,MD,6406 BAYBERRY COURT BALTIMORE MD ,39.2075759,-76.7363552
147F03606,UNARMED ROBBERY,8-Jun-14,CAPTURED,1400 LANCELOT DR.,BALTIMORE,MD,1400 LANCELOT DR. BALTIMORE MD ,39.3238771,-76.5157043
141F03575,ARMED ROBBERY,7-Jun-14,CAPTURED,642 WALTON COURT,BALTIMORE,MD,642 WALTON COURT BALTIMORE MD ,39.2994702,-76.6250663
143F03090,HOMICIDE,7-Jun-14,CAPTURED,1227 POPLAR GROVE ST.,BALTIMORE,MD,1227 POPLAR GROVE ST. BALTIMORE MD ,39.3022205,-76.6651567
143F03090,HOMICIDE,7-Jun-14,CAPTURED,1227 POPLAR GROVE STREET,BALTIMORE,MD,1227 POPLAR GROVE STREET BALTIMORE MD ,39.3022205,-76.6651567
147G02166,HOMICIDE,5-Jun-14,CAPTURED,20 MARICE CIRCLE,BALTIMORE,MD,20 MARICE CIRCLE BALTIMORE MD ,39.2972405,-76.4555159
144E02884,HOMICIDE,4-Jun-14,CAPTURED,3826 YOLANDO RD,BALTIMORE,MD,3826 YOLANDO RD BALTIMORE MD ,39.3349237,-76.6004264
148F01474,ARMED ROBBERY,4-Jun-14,CAPTURED,3400 CLIFTON,BALTIMORE,MD,3400 CLIFTON BALTIMORE MD ,39.3110269,-76.6742344
146F01193,AGGRAVATED ASSAULT,3-Jun-14,CAPTURED,127 COWHIDE CIRCLE,BALTIMORE,MD,127 COWHIDE CIRCLE BALTIMORE MD ,39.3420754,-76.3987389
144F00969,HOMICIDE,3-Jun-14,CAPTURED,3203 PARKINGTON,BALTIMORE,MD,3203 PARKINGTON BALTIMORE MD ,39.3601633,-76.6850353
143F00757,UNARMED ROBBERY,2-Jun-14,CAPTURED,5113 LEVONDALE,BALTIMORE,MD,5113 LEVONDALE BALTIMORE MD ,39.3518984,-76.6657488
146F00402,ARMED ROBBERY,1-Jun-14,CAPTURED,4011 PENHURST AVE,BALTIMORE,MD,4011 PENHURST AVE BALTIMORE MD ,39.3384366,-76.686394
1.45E+275,UNARMED ROBBERY,1-Jun-14,CAPTURED,4203 SHAMROCK AVE,BALTIMORE,MD,4203 SHAMROCK AVE BALTIMORE MD ,39.3279332,-76.5653452
149E14333,AGGRAVATED ASSAULT,30-May-14,CAPTURED,1838 MCCULLOH ST,BALTIMORE,MD,1838 MCCULLOH ST BALTIMORE MD ,39.3071287,-76.6336057
148E13631,CARJACKING,29-May-14,CAPTURED,5600 DOGWOOD,BALTIMORE,MD,5600 DOGWOOD BALTIMORE MD ,39.3129368,-76.7174518
147E13380,UNARMED ROBBERY,28-May-14,CAPTURED,5113 LEVONDALE,BALTIMORE,MD,5113 LEVONDALE BALTIMORE MD ,39.3518984,-76.6657488
141D11862,ARMED ROBBERY,26-May-14,CAPTURED,915 MCALEER CT,BALTIMORE,MD,915 MCALEER CT BALTIMORE MD ,39.2996647,-76.6043722
148E11228,ARSON,23-May-14,CAPTURED,1945 GRIFFIS AVE,BALTIMORE,MD,1945 GRIFFIS AVE BALTIMORE MD ,39.2673806,-76.6498678
144E10746,SHOOTING,23-May-14,CAPTURED,5900 WAYCROSS RD.,BALTIMORE,MD,5900 WAYCROSS RD. BALTIMORE MD ,39.3327474,-76.5332757
148E10089,UNARMED ROBBERY,21-May-14,CAPTURED,2708 FRANKLIN STREET,BALTIMORE,MD,2708 FRANKLIN STREET BALTIMORE MD ,39.2934108,-76.6617185
145E09758,SHOOTING,21-May-14,CAPTURED,2015 W. BELVEDERE AVE,BALTIMORE,MD,2015 W. BELVEDERE AVE BALTIMORE MD ,39.3548035,-76.6621446
145E09758,SHOOTING,21-May-14,CAPTURED,315 N. POPPLETON ST,BALTIMORE,MD,315 N. POPPLETON ST BALTIMORE MD ,39.2929761,-76.6321476
145E09758,OTHER,21-May-14,CAPTURED,2015 W. BELVEDERE,BALTIMORE,MD,2015 W. BELVEDERE BALTIMORE MD ,39.3548035,-76.6621446
148E09743,ARMED ROBBERY,21-May-14,CAPTURED,3132 W. NORTH AVE,BALTIMORE,MD,3132 W. NORTH AVE BALTIMORE MD ,39.3091862,-76.6707114
141E08116,DOMESTIC VIOLENCE,17-May-14,CAPTURED,1511 PRESSTMAN ST,BALTIMORE,MD,1511 PRESSTMAN ST BALTIMORE MD ,39.3052813,-76.6422936
142E05721,SHOOTING,12-May-14,CAPTURED,1120 E 20TH STREET,BALTIMORE,MD,1120 E 20TH STREET BALTIMORE MD ,39.31295,-76.6035806
141D03633,HOMICIDE,12-May-14,CAPTURED,2800 BOARMAN AVE,BALTIMORE,MD,2800 BOARMAN AVE BALTIMORE MD ,39.3380816,-76.6678805
148E00419,HOMICIDE,9-May-14,CAPTURED,7146 OLD WATERLOO RM 302,BALTIMORE,MD,7146 OLD WATERLOO RM 302 BALTIMORE MD ,39.174023,-76.7858303
1.44E+290,HOMICIDE,6-May-14,CAPTURED,2624 AISQUITH ST,BALTIMORE,MD,2624 AISQUITH ST BALTIMORE MD ,39.3195387,-76.5963225
144E02884,HOMICIDE,6-May-14,CAPTURED,1645 N. CALHOUN ST.,BALTIMORE,MD,1645 N. CALHOUN ST. BALTIMORE MD ,39.3075401,-76.6424395
144E02884,HOMICIDE,6-May-14,CAPTURED,6501 LAURELTON AVE,BALTIMORE,MD,6501 LAURELTON AVE BALTIMORE MD ,39.3649967,-76.5633488
144E02587,OTHER,6-May-14,CAPTURED,2700 HARFORD RD,BALTIMORE,MD,2700 HARFORD RD BALTIMORE MD ,39.3204805,-76.5918392
144E01639,OTHER,4-May-14,CAPTURED,5659 PURDUE AVE APT D,BALTIMORE,MD,5659 PURDUE AVE APT D BALTIMORE MD ,39.3582475,-76.5930974
146D13464,AGGRAVATED ASSAULT,30-Apr-14,CAPTURED,4107 SHANNON DRIVE 5614,BALTIMORE,MD,4107 SHANNON DRIVE 5614 BALTIMORE MD ,39.317909,-76.5564071
143D13409,AGGRAVATED ASSAULT,29-Apr-14,CAPTURED,1906 E. 31ST STREET 5614,BALTIMORE,MD,1906 E. 31ST STREET 5614 BALTIMORE MD ,39.3265365,-76.588928
148D12125,SHOOTING,27-Apr-14,CAPTURED,5032 CLIFTON AVENUE,BALTIMORE,MD,5032 CLIFTON AVENUE BALTIMORE MD ,39.3075076,-76.7058266
148D12061,ARMED ROBBERY,26-Apr-14,CAPTURED,2000 CLARK RD,HAVRE DE GRACE,MD,2000 CLARK RD HAVRE DE GRACE MD ,39.52974,-76.1156944
146D06724,OTHER,24-Apr-14,CAPTURED,6000 BALLONA AVE,BALTIMORE,MD,6000 BALLONA AVE BALTIMORE MD ,39.363969,-76.6158459
148D10597,BURGLARY,23-Apr-14,CAPTURED,1101 ARLINGTON,BALTIMORE,MD,1101 ARLINGTON BALTIMORE MD ,39.3015769,-76.6359653
149D09382,UNARMED ROBBERY,21-Apr-14,CAPTURED,639 S. PULASKI STREET,BALTIMORE,MD,639 S. PULASKI STREET BALTIMORE MD ,39.2796684,-76.6480565
141D09180,SEX OFFENSE,21-Apr-14,CAPTURED,2500 W. FAYETTE ST.,BALTIMORE,MD,2500 W. FAYETTE ST. BALTIMORE MD ,39.2890769,-76.6566875
141D00860,UNARMED ROBBERY,19-Apr-14,CAPTURED,712 VINE STREET,BALTIMORE,MD,712 VINE STREET BALTIMORE MD ,39.2907762,-76.6287304
146D07431,SEX OFFENSE,16-Apr-14,CAPTURED,4111 NORFOLK AVE,BALTIMORE,MD,4111 NORFOLK AVE BALTIMORE MD ,39.3233566,-76.6870078
133H01985,AGGRAVATED ASSAULT,14-Apr-14,CAPTURED,2200 BRYANT ST,BALTIMORE,MD,2200 BRYANT ST BALTIMORE MD ,39.3164459,-76.6495703
149D06142,UNARMED ROBBERY,14-Apr-14,CAPTURED,1823 WILKENS,BALTIMORE,MD,1823 WILKENS BALTIMORE MD ,39.282209,-76.6455379
149D06025,AGGRAVATED ASSAULT,13-Apr-14,CAPTURED,348 MARBA ROAD,SEVERNA PARK,MD,348 MARBA ROAD SEVERNA PARK MD ,39.090592,-76.5437675
149D06025,AGGRAVATED ASSAULT,13-Apr-14,CAPTURED,306 14TH AVE,BROOKLYN PARK,MD,306 14TH AVE BROOKLYN PARK MD ,39.2218321,-76.6191809
