police-department,address,state,Latitude,Longitude,direction,north,south,east,west,cameras,district,post
E North Ave and N Wolfe St,E North Ave & N Wolfe St,"Baltimore, MD 21213",39.31244672,-76.59169042,EB/ WB,FALSE,FALSE,TRUE,TRUE,4,Eastern,331
E Patapsco Ave and S Hanover St,E Patapsco Ave & S Hanover St,"Baltimore, MD 21225",39.23866475,-76.60953734,NB/ EB/ WB,TRUE,FALSE,TRUE,TRUE,3,Southern,913
Poplar Grove Street and W Lafayette Ave,W Lafayette Ave & Poplar Grove St,"Baltimore, MD 21216",39.30057006,-76.66451718,NB/ SB,TRUE,TRUE,FALSE,FALSE,2,Southwestern,814
N Conkling St and Pulaski Hwy,N Conkling St & U.S. Hwy 40,"Baltimore, MD 21224",39.29829665,-76.56753741,EB/ WB /SB,FALSE,TRUE,TRUE,TRUE,5,Southeastern,223
Reisterstown Rd and W Garrison Ave,W Garrison Ave & Reisterstown Rd,"Baltimore, MD 21215",39.34352965,-76.68255111,EB/ WB,FALSE,FALSE,TRUE,TRUE,2,Northwestern,613
W Franklin St and N Payson St,N Payson St & W Franklin St,"Baltimore, MD 21223",39.29396894,-76.64893824,WB,FALSE,FALSE,FALSE,TRUE,2,Western ,722
N Monroe St and W Lafayette Ave,N Monroe St & W Lafayette Ave,"Baltimore, MD 21217",39.29963693,-76.64747561,EB/ WB,FALSE,FALSE,TRUE,TRUE,2,Western ,722
W Mulbery St and N Payson St,W Mulberry St & N Payson St,"Baltimore, MD 21223",39.29300059,-76.64898042,EB,FALSE,FALSE,TRUE,FALSE,2,Western ,835
W North Ave at McCulloh St,W North Ave & McCulloh St,"Baltimore, MD 21217",39.31038629,-76.63694036,EB/ NB,TRUE,FALSE,TRUE,FALSE,3,Central,133
Wilkins Ave and S Catherine St,S Catherine St & Wilkens Ave,"Baltimore, MD 21223",39.28006339,-76.65352186,EB/ WB,FALSE,FALSE,TRUE,TRUE,2,Southwestern,834
Frederick Ave and S Catherine St,S Catherine St & Frederick Ave,"Baltimore, MD 21223",39.28363389,-76.65591607,NB/ SB,TRUE,TRUE,FALSE,FALSE,2,Southwestern,835
Biddle St and Greenmount Ave,E Biddle St & Greenmount Ave,"Baltimore, MD 21202",39.30427222,-76.60798277,NB/ SB,TRUE,TRUE,FALSE,FALSE,2,Eastern,313
W Northern Parkway at Reistertown Road,W Northern Pkwy & Reisterstown Rd,"Baltimore, MD 21215",39.34897233,-76.69185322,WB/ EB/ NB/ SB,TRUE,TRUE,TRUE,TRUE,9,Northwestern,632
Harford Road at Echodale Avenue,Harford Rd & Echodale Ave,"Baltimore, MD 21214",39.35065196,-76.56334987,NB/ SB,TRUE,TRUE,FALSE,FALSE,2,Northeastern,423
North Hilton Street at North Kossuth Street,N Kossuth St & N Hilton St,"Baltimore, MD 21229",39.28929857,-76.67255419,NB/ SB,TRUE,TRUE,FALSE,FALSE,2,Southwestern,835
